ID,Requirement,PRD acceptance evidence,Class,Architecture domain,Components,APIs/events,Data entities,Controls,Test architecture,Metrics,Architecture evidence
FR-76,"Track delivery receipts, opt-out, retry and channel fallback.",A failed preferred channel can use an approved fallback without duplicate messages.,Core,Intelligence and reporting,intelligence; worker; admin-web,analytics; reports,CallFactDaily; IntentAggregate; ReportRun; Recommendation,lineage; restricted views; human-reviewed recommendations,aggregate/report/export tests,report health; query budget; trend coverage,report artifact + lineage
FR-77,"Track human handoff requests, completion, failure and callback fallback.",Failed transfers create visible alerts and controlled next steps.,Core,Intelligence and reporting,intelligence; worker; admin-web,analytics; reports,CallFactDaily; IntentAggregate; ReportRun; Recommendation,lineage; restricted views; human-reviewed recommendations,aggregate/report/export tests,report health; query budget; trend coverage,report artifact + lineage
FR-78,"Provide QA sampling, review rubrics and correction workflows.","Reviews capture factual accuracy, policy, language, routing and provider quality.",Core,Operations and governance,admin-web; auth; audit; config; workflows,audit; retention; readiness; reconciliation,AuditEvent; RetentionPolicy; DeletionJob; ReadinessEvaluation,RBAC; masking; retention; server readiness,browser/RBAC/retention/readiness tests,access denials; deletion success; readiness blockers,audit + workflow + release evidence
FR-79,"Enforce server-side RBAC, field masking and separation of duties.",Unauthorized API access fails even when the UI is bypassed.,Core,Operations and governance,admin-web; auth; audit; config; workflows,audit; retention; readiness; reconciliation,AuditEvent; RetentionPolicy; DeletionJob; ReadinessEvaluation,RBAC; masking; retention; server readiness,browser/RBAC/retention/readiness tests,access denials; deletion success; readiness blockers,audit + workflow + release evidence
FR-80,"Maintain immutable audit history for configuration, content, release, access, correction, export and deletion events.",Audit records are protected from ordinary modification and searchable by authorized auditors.,Core,Operations and governance,admin-web; auth; audit; config; workflows,audit; retention; readiness; reconciliation,AuditEvent; RetentionPolicy; DeletionJob; ReadinessEvaluation,RBAC; masking; retention; server readiness,browser/RBAC/retention/readiness tests,access denials; deletion success; readiness blockers,audit + workflow + release evidence
FR-81,"Provide retention, export, deletion and legal-hold workflows.","Jobs are traceable, retryable and produce completion evidence.",Core,Operations and governance,admin-web; auth; audit; config; workflows,audit; retention; readiness; reconciliation,AuditEvent; RetentionPolicy; DeletionJob; ReadinessEvaluation,RBAC; masking; retention; server readiness,browser/RBAC/retention/readiness tests,access denials; deletion success; readiness blockers,audit + workflow + release evidence
FR-82,Ensure normal users can perform all supported day-to-day ElevenLabs operations from the Quantum Parks application.,"The only accepted portal dependencies are documented vendor onboarding, billing, contract or currently API-inaccessible functions.",Core,Operations and governance,admin-web; auth; audit; config; workflows,audit; retention; readiness; reconciliation,AuditEvent; RetentionPolicy; DeletionJob; ReadinessEvaluation,RBAC; masking; retention; server readiness,browser/RBAC/retention/readiness tests,access denials; deletion success; readiness blockers,audit + workflow + release evidence
NFR-01,Provider availability,"The application must degrade clearly when ElevenLabs is unavailable and must never show a false publish, test or call-processing success.",,"Quality, security and operations",config; auth; observability; workflows; infra,readiness; health; audit; metrics,SystemConfiguration; ReadinessEvaluation; AuditEvent,NFR/SLO gate; CI evidence; server readiness,performance/security/reliability/accessibility test appropriate to requirement,NFR-specific SLI/SLO,release evidence + dashboard/alert/runbook
NFR-02,Webhook reliability,"The post-call ingestion endpoint must be highly available, fast to acknowledge, signed, replay-safe and idempotent.",,"Quality, security and operations",config; auth; observability; workflows; infra,readiness; health; audit; metrics,SystemConfiguration; ReadinessEvaluation; AuditEvent,NFR/SLO gate; CI evidence; server readiness,performance/security/reliability/accessibility test appropriate to requirement,NFR-specific SLI/SLO,release evidence + dashboard/alert/runbook
NFR-03,Processing timeliness,"At least 95% of eligible completed calls should produce the canonical transcript, summary, classification and outcome within five minutes under normal load; target requires validation.",,"Quality, security and operations",config; auth; observability; workflows; infra,readiness; health; audit; metrics,SystemConfiguration; ReadinessEvaluation; AuditEvent,NFR/SLO gate; CI evidence; server readiness,performance/security/reliability/accessibility test appropriate to requirement,NFR-specific SLI/SLO,release evidence + dashboard/alert/runbook
NFR-04,Control-plane responsiveness,Normal admin pages should meet a P95 server response target of two seconds excluding deliberate provider operations; long provider work is asynchronous.,,"Quality, security and operations",config; auth; observability; workflows; infra,readiness; health; audit; metrics,SystemConfiguration; ReadinessEvaluation; AuditEvent,NFR/SLO gate; CI evidence; server readiness,performance/security/reliability/accessibility test appropriate to requirement,NFR-specific SLI/SLO,release evidence + dashboard/alert/runbook
NFR-05,Synchronization integrity,"Local approved state and remote runtime state must be reconcilable, with no silent partial publication.",,"Quality, security and operations",config; auth; observability; workflows; infra,readiness; health; audit; metrics,SystemConfiguration; ReadinessEvaluation; AuditEvent,NFR/SLO gate; CI evidence; server readiness,performance/security/reliability/accessibility test appropriate to requirement,NFR-specific SLI/SLO,release evidence + dashboard/alert/runbook
NFR-06,Scalability,The platform must ingest concurrent call completions and run background intelligence without blocking user operations.,,"Quality, security and operations",config; auth; observability; workflows; infra,readiness; health; audit; metrics,SystemConfiguration; ReadinessEvaluation; AuditEvent,NFR/SLO gate; CI evidence; server readiness,performance/security/reliability/accessibility test appropriate to requirement,NFR-specific SLI/SLO,release evidence + dashboard/alert/runbook
NFR-07,Security,"Encryption, scoped service credentials, RBAC, signed webhooks, input validation, secure headers and audit are mandatory.",,"Quality, security and operations",config; auth; observability; workflows; infra,readiness; health; audit; metrics,SystemConfiguration; ReadinessEvaluation; AuditEvent,NFR/SLO gate; CI evidence; server readiness,performance/security/reliability/accessibility test appropriate to requirement,NFR-specific SLI/SLO,release evidence + dashboard/alert/runbook
NFR-08,Privacy and minimization,Only minimum necessary customer context may be sent to ElevenLabs or exposed to users for the current purpose.,,"Quality, security and operations",config; auth; observability; workflows; infra,readiness; health; audit; metrics,SystemConfiguration; ReadinessEvaluation; AuditEvent,NFR/SLO gate; CI evidence; server readiness,performance/security/reliability/accessibility test appropriate to requirement,NFR-specific SLI/SLO,release evidence + dashboard/alert/runbook
NFR-09,Data residency and retention,"Provider region, retention, zero-retention and deletion settings must be configurable and documented according to approved policy and contract.",,"Quality, security and operations",config; auth; observability; workflows; infra,readiness; health; audit; metrics,SystemConfiguration; ReadinessEvaluation; AuditEvent,NFR/SLO gate; CI evidence; server readiness,performance/security/reliability/accessibility test appropriate to requirement,NFR-specific SLI/SLO,release evidence + dashboard/alert/runbook
NFR-10,Accessibility,"The application must target WCAG 2.2 AA, full keyboard operation, focus management and screen-reader semantics.",,"Quality, security and operations",config; auth; observability; workflows; infra,readiness; health; audit; metrics,SystemConfiguration; ReadinessEvaluation; AuditEvent,NFR/SLO gate; CI evidence; server readiness,performance/security/reliability/accessibility test appropriate to requirement,NFR-specific SLI/SLO,release evidence + dashboard/alert/runbook
NFR-11,Auditability,"Every production-impacting change must be attributable to an actor, version, reason, approval and test evidence.",,"Quality, security and operations",config; auth; observability; workflows; infra,readiness; health; audit; metrics,SystemConfiguration; ReadinessEvaluation; AuditEvent,NFR/SLO gate; CI evidence; server readiness,performance/security/reliability/accessibility test appropriate to requirement,NFR-specific SLI/SLO,release evidence + dashboard/alert/runbook
NFR-12,Observability,"Metrics, logs and traces must cover provider API calls, webhooks, sync, tests, processing, tasks, messages, reports, latency, errors and cost.",,"Quality, security and operations",config; auth; observability; workflows; infra,readiness; health; audit; metrics,SystemConfiguration; ReadinessEvaluation; AuditEvent,NFR/SLO gate; CI evidence; server readiness,performance/security/reliability/accessibility test appropriate to requirement,NFR-specific SLI/SLO,release evidence + dashboard/alert/runbook
NFR-13,Resilience,"Retries must be bounded and safe; dead letters, reconciliation and manual replay must exist for provider and workflow failures.",,"Quality, security and operations",config; auth; observability; workflows; infra,readiness; health; audit; metrics,SystemConfiguration; ReadinessEvaluation; AuditEvent,NFR/SLO gate; CI evidence; server readiness,performance/security/reliability/accessibility test appropriate to requirement,NFR-specific SLI/SLO,release evidence + dashboard/alert/runbook
NFR-14,Maintainability,"New knowledge categories, languages, tools, reports and provider fields should be configurable without redesigning the core platform.",,"Quality, security and operations",config; auth; observability; workflows; infra,readiness; health; audit; metrics,SystemConfiguration; ReadinessEvaluation; AuditEvent,NFR/SLO gate; CI evidence; server readiness,performance/security/reliability/accessibility test appropriate to requirement,NFR-specific SLI/SLO,release evidence + dashboard/alert/runbook
NFR-15,Data quality,"Canonical records must retain provenance, confidence, source version and correction history.",,"Quality, security and operations",config; auth; observability; workflows; infra,readiness; health; audit; metrics,SystemConfiguration; ReadinessEvaluation; AuditEvent,NFR/SLO gate; CI evidence; server readiness,performance/security/reliability/accessibility test appropriate to requirement,NFR-specific SLI/SLO,release evidence + dashboard/alert/runbook
NFR-16,Cost control,"Usage, credits, call minutes, tests, messages, storage and enrichment cost must be measurable and alertable.",,"Quality, security and operations",config; auth; observability; workflows; infra,readiness; health; audit; metrics,SystemConfiguration; ReadinessEvaluation; AuditEvent,NFR/SLO gate; CI evidence; server readiness,performance/security/reliability/accessibility test appropriate to requirement,NFR-specific SLI/SLO,release evidence + dashboard/alert/runbook
NFR-17,Disaster recovery,"The platform requires tested database backup/restore, object retention, infrastructure recovery and documented RPO/RTO targets.",,"Quality, security and operations",config; auth; observability; workflows; infra,readiness; health; audit; metrics,SystemConfiguration; ReadinessEvaluation; AuditEvent,NFR/SLO gate; CI evidence; server readiness,performance/security/reliability/accessibility test appropriate to requirement,NFR-specific SLI/SLO,release evidence + dashboard/alert/runbook
NFR-18,Vendor evolution,"Provider SDK, endpoint and payload changes must be isolated behind an adapter and schema-tolerant webhook layer.",,"Quality, security and operations",config; auth; observability; workflows; infra,readiness; health; audit; metrics,SystemConfiguration; ReadinessEvaluation; AuditEvent,NFR/SLO gate; CI evidence; server readiness,performance/security/reliability/accessibility test appropriate to requirement,NFR-specific SLI/SLO,release evidence + dashboard/alert/runbook
